artificial coarse g25
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

a1
Aplane_Bdir_1_I;sa1i;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;09:23:37:095;1.27;0.00
2;100;100;09:23:40:021;1.61;0.00
3;100;100;09:23:43:021;1.94;0.01
4;100;100;09:23:44:521;1.95;0.05
5;100;100;09:23:45:321;1.90;0.10
6;100;100;09:23:45:821;1.90;0.15
7;100;100;09:23:46:171;1.95;0.18
8;100;100;09:23:46:321;2.05;0.20
9;100;100;09:23:46:621;1.94;0.26
10;100;100;09:23:46:871;1.88;0.31
11;100;100;09:23:47:171;1.95;0.37
12;100;100;09:23:47:421;2.02;0.42
13;100;100;09:23:47:571;2.01;0.48
14;100;100;09:23:47:821;2.04;0.55
15;100;100;09:23:47:971;1.77;0.60
16;100;100;09:23:48:171;2.05;0.66
17;100;100;09:23:48:321;1.87;0.72
18;100;100;09:23:48:571;1.89;0.80
19;100;100;09:23:48:721;2.03;0.86
20;100;100;09:23:48:921;2.17;0.93
21;100;100;09:23:49:071;2.03;0.99
22;100;100;09:23:49:221;2.19;1.05
23;100;100;09:23:49:471;2.46;1.11
24;100;100;09:23:49:671;2.48;1.16
25;100;100;09:23:49:971;2.66;1.21
26;100;100;09:23:50:071;2.57;1.23
27;100;100;09:23:50:471;2.71;1.27
28;100;100;09:23:50:621;2.88;1.28
29;100;100;09:23:51:121;2.93;1.32
30;100;100;09:23:52:021;2.88;1.37
31;100;100;09:23:52:971;3.18;1.42
32;100;100;09:23:53:321;3.10;1.44
33;100;100;09:23:54:221;3.12;1.47
34;100;100;09:23:54:921;3.20;1.52
35;100;100;09:23:55:121;2.39;1.58
36;100;100;09:23:55:271;2.54;1.64
37;100;100;09:23:55:371;2.56;1.69
38;100;100;09:23:55:521;2.65;1.75
39;100;100;09:23:55:671;2.86;1.81

x
x;0.000;0.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
