artificial coarse g25
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

c3
C-plane_Adir_3_III;sc3iii;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:28:18:280;1.24;0.00
2;100;100;15:28:18:587;1.17;0.00
3;100;100;15:28:19:337;1.45;0.00
4;100;100;15:28:21:637;1.50;0.00
5;100;100;15:28:24:637;1.83;0.00
6;100;100;15:28:26:637;1.86;0.05
7;100;100;15:28:27:137;1.94;0.10
8;100;100;15:28:27:687;1.97;0.16
9;100;100;15:28:27:787;2.00;0.16
10;100;100;15:28:28:187;2.05;0.21
11;100;100;15:28:28:487;2.04;0.27
12;100;100;15:28:28:837;2.02;0.32
13;100;100;15:28:29:087;2.00;0.38
14;100;100;15:28:29:337;1.92;0.44
15;100;100;15:28:29:587;1.88;0.49
16;100;100;15:28:29:737;2.07;0.55
17;100;100;15:28:29:887;1.80;0.60
18;100;100;15:28:30:087;2.02;0.66
19;100;100;15:28:30:237;1.81;0.71
20;100;100;15:28:30:437;1.94;0.77
21;100;100;15:28:30:587;2.01;0.84
22;100;100;15:28:30:737;1.90;0.89
23;100;100;15:28:30:887;1.94;0.95
24;100;100;15:28:31:037;2.05;1.02
25;100;100;15:28:31:187;2.01;1.08
26;100;100;15:28:31:337;2.00;1.14
27;100;100;15:28:31:537;2.24;1.21
28;100;100;15:28:31:687;2.29;1.26
29;100;100;15:28:31:737;2.33;1.27
30;100;100;15:28:31:937;2.37;1.33
31;100;100;15:28:32:187;2.54;1.39
32;100;100;15:28:32:537;2.05;1.45
33;100;100;15:28:32:637;1.84;1.51
34;100;100;15:28:32:787;2.12;1.58
35;100;100;15:28:32:937;2.30;1.65
36;100;100;15:28:33:087;2.46;1.71
37;100;100;15:28:33:287;2.84;1.77
38;100;100;15:28:33:337;3.08;1.77
39;100;100;15:28:35:187;3.23;1.80
40;100;100;15:28:38:187;3.37;1.81
41;100;100;15:28:41:187;3.59;1.81
42;100;100;15:28:41:937;3.56;1.82

x
x;0.000;0.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
