artificial coarse g25
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

c5
Cplane_Bdir_3_V;sc3iii;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:57:26:386;1.09;0.00
2;100;100;15:57:28:893;1.27;0.00
3;100;100;15:57:29:293;1.43;0.00
4;100;100;15:57:31:943;1.56;0.00
5;100;100;15:57:34:943;1.94;0.00
6;100;100;15:57:37:443;2.07;0.05
7;100;100;15:57:37:993;1.92;0.08
8;100;100;15:57:38:193;2.09;0.10
9;100;100;15:57:38:693;2.01;0.16
10;100;100;15:57:38:943;1.97;0.21
11;100;100;15:57:39:243;1.87;0.26
12;100;100;15:57:39:493;1.98;0.32
13;100;100;15:57:39:693;1.96;0.37
14;100;100;15:57:39:943;1.89;0.43
15;100;100;15:57:40:093;2.03;0.48
16;100;100;15:57:40:343;1.91;0.55
17;100;100;15:57:40:493;1.90;0.61
18;100;100;15:57:40:693;2.01;0.66
19;100;100;15:57:40:843;1.91;0.73
20;100;100;15:57:40:993;1.94;0.79
21;100;100;15:57:41:193;1.84;0.86
22;100;100;15:57:41:343;2.03;0.92
23;100;100;15:57:41:493;1.96;0.98
24;100;100;15:57:41:643;2.09;1.04
25;100;100;15:57:41:793;2.07;1.09
26;100;100;15:57:41:893;2.23;1.13
27;100;100;15:57:41:943;2.31;1.16
28;100;100;15:57:42:143;2.38;1.21
29;100;100;15:57:42:293;2.46;1.27
30;100;100;15:57:42:543;2.58;1.32
31;100;100;15:57:42:893;2.64;1.39
32;100;100;15:57:43:193;2.75;1.44
33;100;100;15:57:43:543;2.35;1.50
34;100;100;15:57:43:693;2.03;1.57
35;100;100;15:57:43:843;2.26;1.64
36;100;100;15:57:43:943;2.23;1.70
37;100;100;15:57:44:093;2.45;1.76
38;100;100;15:57:44:243;2.57;1.82
39;100;100;15:57:44:393;2.30;1.89
40;100;100;15:57:44:543;2.53;1.94
41;100;100;15:57:44:693;2.67;2.01
42;100;100;15:57:44:843;2.69;2.06

x
x;0.000;0.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
