artificial coarse g25
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

c6
cplane_Adir_3_VI;sc3vi;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:41:13:900;1.35;0.00
2;100;100;15:41:16:134;1.55;0.00
3;100;100;15:41:19:134;1.72;0.00
4;100;100;15:41:21:584;1.98;0.05
5;100;100;15:41:22:183;2.02;0.08
6;100;100;15:41:22:334;1.96;0.10
7;100;100;15:41:22:683;1.97;0.16
8;100;100;15:41:23:134;1.87;0.21
9;100;100;15:41:23:433;1.91;0.26
10;100;100;15:41:23:734;1.95;0.32
11;100;100;15:41:23:984;2.01;0.37
12;100;100;15:41:24:183;1.95;0.43
13;100;100;15:41:24:384;1.81;0.48
14;100;100;15:41:24:584;2.09;0.54
15;100;100;15:41:24:784;1.95;0.61
16;100;100;15:41:24:984;1.94;0.66
17;100;100;15:41:25:134;1.97;0.72
18;100;100;15:41:25:334;1.88;0.80
19;100;100;15:41:25:484;1.95;0.86
20;100;100;15:41:25:634;2.05;0.92
21;100;100;15:41:25:784;2.04;0.97
22;100;100;15:41:25:933;1.88;1.04
23;100;100;15:41:26:034;1.98;1.07
24;100;100;15:41:26:134;2.08;1.12
25;100;100;15:41:26:284;2.05;1.18
26;100;100;15:41:26:433;2.24;1.24
27;100;100;15:41:26:584;2.33;1.29
28;100;100;15:41:26:784;2.39;1.35
29;100;100;15:41:26:984;2.33;1.41
30;100;100;15:41:27:183;2.57;1.47
31;100;100;15:41:27:433;2.61;1.52
32;100;100;15:41:27:634;2.57;1.57
33;100;100;15:41:27:834;2.30;1.62
34;100;100;15:41:27:984;2.54;1.68
35;100;100;15:41:28:134;2.88;1.72
36;100;100;15:41:28:234;2.82;1.73
37;100;100;15:41:29:683;3.21;1.77
38;100;100;15:41:31:433;3.33;1.78
39;100;100;15:41:32:734;3.43;1.78
40;100;100;15:41:35:734;3.58;1.79

x
x;0.000;0.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
