CoarseGrainedBlock
1;2015-11-12;09:22:57;;;27;05:57:00;
30;1;20
0.0;0.0

c2
Cplane_A60_3_II;sc3ii;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;16:56:47:308;1.61;0.00
2;100;100;16:56:49:277;1.82;0.00
3;100;100;16:56:52:277;2.13;0.01
4;100;100;16:56:53:677;2.18;0.05
5;100;100;16:56:54:177;2.15;0.10
6;100;100;16:56:54:627;2.09;0.15
7;100;100;16:56:55:027;2.29;0.21
8;100;100;16:56:55:477;2.33;0.26
9;100;100;16:56:55:527;2.18;0.27
10;100;100;16:56:55:828;2.32;0.31
11;100;100;16:56:56:277;2.27;0.37
12;100;100;16:56:56:627;2.39;0.42
13;100;100;16:56:56:977;2.41;0.47
14;100;100;16:56:57:477;2.56;0.53
15;100;100;16:56:57:877;2.44;0.58
16;100;100;16:56:58:277;2.63;0.63
17;100;100;16:56:58:777;2.41;0.70
18;100;100;16:56:58:927;2.07;0.74
19;100;100;16:56:58:977;2.07;0.77
20;100;100;16:56:59:127;2.18;0.84
21;100;100;16:56:59:277;2.20;0.90
22;100;100;16:56:59:427;2.31;0.96
23;100;100;16:56:59:578;2.36;1.02
24;100;100;16:56:59:727;2.35;1.07
25;100;100;16:56:59:877;2.40;1.13
26;100;100;16:57:00:027;2.40;1.19
27;100;100;16:57:00:177;2.59;1.24
28;100;100;16:57:00:328;2.43;1.30
29;100;100;16:57:00:527;2.93;1.36
30;100;100;16:57:00:578;3.08;1.36

c3
C-plane_Adir_3_III;sc3iii;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:28:18:280;1.24;0.00
2;100;100;15:28:18:587;1.17;0.00
3;100;100;15:28:19:337;1.45;0.00
4;100;100;15:28:21:637;1.50;0.00
5;100;100;15:28:24:637;1.83;0.00
6;100;100;15:28:26:637;1.86;0.05
7;100;100;15:28:27:137;1.94;0.10
8;100;100;15:28:27:687;1.97;0.16
9;100;100;15:28:27:787;2.00;0.16
10;100;100;15:28:28:187;2.05;0.21
11;100;100;15:28:28:487;2.04;0.27
12;100;100;15:28:28:837;2.02;0.32
13;100;100;15:28:29:087;2.00;0.38
14;100;100;15:28:29:337;1.92;0.44
15;100;100;15:28:29:587;1.88;0.49
16;100;100;15:28:29:737;2.07;0.55
17;100;100;15:28:29:887;1.80;0.60
18;100;100;15:28:30:087;2.02;0.66
19;100;100;15:28:30:237;1.81;0.71
20;100;100;15:28:30:437;1.94;0.77
21;100;100;15:28:30:587;2.01;0.84
22;100;100;15:28:30:737;1.90;0.89
23;100;100;15:28:30:887;1.94;0.95
24;100;100;15:28:31:037;2.05;1.02
25;100;100;15:28:31:187;2.01;1.08
26;100;100;15:28:31:337;2.00;1.14
27;100;100;15:28:31:537;2.24;1.21
28;100;100;15:28:31:687;2.29;1.26
29;100;100;15:28:31:737;2.33;1.27
30;100;100;15:28:31:937;2.37;1.33
31;100;100;15:28:32:187;2.54;1.39
32;100;100;15:28:32:537;2.05;1.45
