FineGrainedBlock
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

a1
A1_0p25kNs;sa1;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;13:59:29:208;2.18;0.00
2;100;100;13:59:29:493;2.09;0.00
3;100;100;13:59:30:093;2.23;0.01
4;100;100;13:59:30:693;2.32;0.02
5;100;100;13:59:31:203;2.44;0.04
6;100;100;13:59:31:303;2.41;0.05
7;100;100;13:59:31:903;2.69;0.08
8;100;100;13:59:32:013;2.57;0.09
9;100;100;13:59:32:513;2.57;0.14
10;100;100;13:59:32:613;2.69;0.14
11;100;100;13:59:32:663;2.86;0.15
12;100;100;13:59:33:133;2.76;0.17
13;100;100;13:59:33:443;2.86;0.19
14;100;100;13:59:33:743;3.16;0.22
15;100;100;13:59:34:133;3.00;0.25
16;100;100;13:59:34:353;3.10;0.26
17;100;100;13:59:34:623;2.44;0.30
18;100;100;13:59:34:733;2.53;0.35
19;100;100;13:59:34:833;2.39;0.40
20;100;100;13:59:34:933;2.50;0.46
21;100;100;13:59:34:993;2.47;0.48
22;100;100;13:59:35:053;2.40;0.51
23;100;100;13:59:35:133;2.46;0.57
24;100;100;13:59:35:273;2.81;0.62
25;100;100;13:59:35:343;2.73;0.67

a3
A3_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:18:47:349;1.81;0.00
2;100;100;14:18:47:640;1.67;0.00
3;100;100;14:18:47:941;1.77;0.00
4;100;100;14:18:48:240;1.76;0.00
5;100;100;14:18:48:541;1.82;0.00
6;100;100;14:18:48:841;1.75;0.00
7;100;100;14:18:49:140;1.91;0.00
8;100;100;14:18:49:441;1.90;0.01
9;100;100;14:18:49:740;1.97;0.01
10;100;100;14:18:50:041;1.89;0.02
11;100;100;14:18:50:341;1.97;0.03
12;100;100;14:18:50:640;1.91;0.04
13;100;100;14:18:50:731;1.80;0.05
14;100;100;14:18:50:946;1.78;0.07
15;100;100;14:18:51:245;1.75;0.10
16;100;100;14:18:51:265;1.81;0.10
17;100;100;14:18:51:551;1.91;0.14
18;100;100;14:18:51:631;1.78;0.15
19;100;100;14:18:51:856;1.73;0.17
20;100;100;14:18:52:015;1.94;0.20
21;100;100;14:18:52:160;1.84;0.24
22;100;100;14:18:52:196;1.77;0.25
23;100;100;14:18:52:455;1.69;0.30
24;100;100;14:18:52:470;1.80;0.30
25;100;100;14:18:52:646;1.77;0.35
26;100;100;14:18:52:776;1.69;0.39
27;100;100;14:18:52:836;1.76;0.40
28;100;100;14:18:53:055;1.77;0.45
29;100;100;14:18:53:086;1.72;0.46
30;100;100;14:18:53:211;1.61;0.50
31;100;100;14:18:53:365;1.68;0.55
32;100;100;14:18:53:396;1.74;0.56
33;100;100;14:18:53:560;1.73;0.60
34;100;100;14:18:53:676;1.78;0.65
35;100;100;14:18:53:705;1.80;0.66
36;100;100;14:18:53:810;1.66;0.71
37;100;100;14:18:53:966;1.73;0.76
38;100;100;14:18:54:015;1.76;0.77
